Soil_Type,Temperature,Texture,Rainfall,pH,Water_Content
Silt,37.448790266313424,Coarse,505.08694403496645,4.782274989601719,12.223949646123026
Peaty,35.50115733369398,Fine,1202.2422724250303,7.0696771128252625,19.852502085817182
Clay,23.4835202241461,Fine,1885.0785934894056,4.606045242166488,10.227072895348382
Peaty,12.86230349471234,Medium,1452.8536340149515,6.843102325093853,19.373212839882527
Peaty,21.124547565947992,Coarse,1226.110106160857,8.26092096569983,11.126065513636746
Sandy,30.065237579908217,Coarse,374.9176887873833,6.801896711503516,12.376358325361439
Clay,29.9776706985249,Medium,1307.0130080585054,6.052679704826088,12.350524935542097
Clay,27.738933631231813,Medium,1982.096930187674,7.073152873769413,22.984206042321272
Clay,18.241653789701925,Coarse,452.1512274257433,6.3330115619660665,24.920897585308467
Peaty,26.837302775431034,Coarse,1132.9933742547262,6.68246715726374,21.667375301943192
Silt,21.487806242613694,Medium,1779.2715294703198,8.2658592351061,29.243450969490837
Clay,39.151362861673114,Fine,1533.383511957568,6.044410551203097,17.49741159047408
Peaty,35.467414727982515,Fine,1454.6283337914824,8.344762255295656,15.714241725637216
Sandy,31.651885634946197,Medium,1464.4713511767966,8.121402567824255,27.371982563789206
Silt,17.07954759246867,Fine,847.0840721955593,5.283164539157186,14.471916770389052
Sandy,17.68204968283972,Medium,728.465319676088,4.777445203500662,29.264450788812226
Silt,11.21300768615294,Fine,1656.8500798613245,4.903112005509707,10.243089493796326
Peaty,31.31988669057362,Fine,1658.2041104225254,4.572887302606199,29.39757653415278
Loamy,13.32672462435494,Coarse,1760.7301734441867,4.877771843023714,10.863198239011522
Silt,23.180095055973105,Coarse,1843.8329946016484,7.232027093665428,27.822862273961423
Sandy,16.051576070061884,Fine,1120.4163179496882,4.7847545938409155,20.554022181725998
Peaty,36.87290787020558,Fine,1102.7293304369593,5.775902521175045,29.859295922386007
Silt,24.261106695463354,Coarse,1636.9313221401953,7.879501243877819,11.475931294707976
Loamy,26.89826715929151,Coarse,1369.9350753999772,4.593087742943304,21.077085688026415
Loamy,30.865482592783824,Coarse,1463.540379063866,7.757873930355743,29.38605071238198
Clay,14.17994363217627,Medium,1632.4268049849818,5.6274190990936,20.461956883402976
Clay,28.132521378334516,Fine,1802.0096152716194,4.972659310486625,22.58797276270525
Sandy,26.195232739050194,Coarse,808.3912823327645,7.286948661456602,23.914973779692343
Silt,16.091836742043082,Fine,876.0493147518993,7.0157713871195355,19.090821295355465
Silt,38.28560711673943,Medium,369.16749171356423,8.009888054108211,22.55116160168127
Clay,27.96596399465608,Medium,1240.9042537931132,7.4402841752155435,21.686286238462003
Silt,30.843547991191137,Coarse,264.69609283413575,7.713923721539395,28.02316020981978
Silt,36.41403517045773,Medium,1038.0764326384283,5.628138290285226,10.908927606829158
Loamy,28.7306214440138,Fine,1176.760342473638,5.209758175118891,15.619263791844606
Clay,18.86901057513142,Coarse,715.7742538309119,7.502459006563433,29.008229681531176
Peaty,13.164827794908119,Fine,1263.4998690242194,7.7273389570690565,27.805275677818326
Clay,23.696037114487307,Fine,254.90044989028897,8.462020568002693,19.11313505571426
Peaty,16.553213116505006,Medium,267.22673974858594,6.150470707645706,22.402651956030734
Loamy,22.495298436110986,Medium,1680.681009187385,5.988072343171133,15.547623659622653
Sandy,36.49840776756605,Medium,848.3431545402732,7.605651842967987,13.762423194475225
Silt,19.73035063015822,Medium,428.7089227733926,5.863214161012071,19.273968098799642
Loamy,13.662638641020202,Medium,1140.0378680986478,8.22302930241426,17.067044560521055
Silt,20.688935142309248,Coarse,1585.9883955774994,7.933651007372047,21.67312223701744
Sandy,37.20485324637262,Fine,588.4778494943178,6.215976109500073,11.554692739299696
Sandy,18.16396748153906,Fine,1321.2028564742004,7.5034842711659895,29.48789615332333
Loamy,29.43070361624087,Fine,353.6254369887824,7.518171496338729,29.72421488959206
Sandy,10.015611309859475,Fine,293.02709810349387,4.91249547534373,23.963234280394904
Peaty,20.577065690025073,Medium,1156.4383368226663,8.110211626718266,20.72192732688241
Sandy,19.143437744740872,Fine,1173.1432188981917,6.521009489791428,16.190552325726557
Silt,14.939675594288252,Coarse,1347.3738226967719,7.805829864430967,26.275900394138972
Silt,26.022682581263258,Coarse,1506.9644007007907,5.780198404122447,23.694623451077586
Silt,24.544899140769495,Fine,1956.5337430325624,8.082092913984802,13.252338786897827
Silt,30.77308098670811,Fine,1129.3406269421516,6.056806714936652,28.21854368987685
Peaty,18.082370013955646,Coarse,781.3216512942428,4.543350605921193,26.45074485846338
Clay,17.323765667433225,Coarse,1631.3351505836665,8.121527905677056,28.99599826583848
Loamy,15.048731265187918,Medium,687.4980522717335,4.865146707144534,24.5143901677672
Silt,16.56292658719211,Coarse,990.148557270145,5.7772545503616595,22.268303918715798
Sandy,26.743060060520236,Medium,341.22148641607873,8.30024786820322,18.364860725812377
Silt,22.115085131741225,Medium,245.63133814782353,8.302428587750224,28.654569667080267
Sandy,11.946767413269447,Medium,1932.7671464202651,6.793751552493145,27.321277790008168
Sandy,17.617462418030343,Medium,1704.7642169219705,7.027348848679197,10.904373402123788
Silt,17.406281885158037,Medium,1452.7535709686563,6.293782087913279,10.52733948994504
Peaty,30.889128185193652,Fine,936.1152999456858,5.672843086792258,17.52926733756099
Sandy,31.36811769773326,Coarse,511.9297761275224,5.814658181479664,26.211066615636657
Sandy,14.442607898601997,Medium,481.58667680795486,7.190073824308154,29.74552258629889
Silt,39.932214551468256,Coarse,650.4372166962717,7.50949811775072,13.008337822070564
Sandy,18.00343042825855,Coarse,1188.6079964710168,7.666316174903394,21.8826143070427
Sandy,39.29844867497958,Medium,1486.2726608601122,7.658472571178216,17.61781713262043
Silt,22.331110399546937,Fine,1388.3552780919163,4.8648244121947615,29.398287956292066
Silt,10.991521987016451,Medium,703.8810145026971,6.477681218810326,26.842378462714173
Loamy,20.35213744080049,Fine,1918.7575051937495,4.730235040066577,26.766574094222758
Peaty,29.030540341040915,Coarse,1528.2144500523834,6.698115529294942,19.373863195899403
Peaty,30.421163546643005,Fine,1197.8372945205213,6.266122005493508,18.296390046753302
Sandy,25.92803749951409,Fine,1301.097343221834,8.0508167310332,15.468141438614126
Peaty,23.433494937192748,Fine,955.2801123700218,5.903660050208314,11.127509933018542
Sandy,26.58679267213984,Coarse,645.9157811020834,4.968268065710424,27.294447525101063
Loamy,27.780901716381805,Coarse,840.7508215722709,5.071966728211343,26.258020182601552
Silt,12.425599789981458,Fine,1564.1229988358643,7.546042526869889,29.99435346572261
Silt,21.089633681842134,Fine,225.90827953356057,6.972872253265044,29.93273674147811
Silt,17.264798148322775,Medium,408.93075291244924,4.904490704491161,21.10863411205255
Peaty,34.09419269139688,Fine,282.80475563915496,4.83642722445999,25.37974830361021
Loamy,24.109019033381152,Medium,273.31184417414624,7.30387652583648,28.89531459764856
Peaty,39.50269422684529,Fine,1739.829051219813,4.791052025456774,26.99294781354823
Peaty,21.96473327333659,Medium,1466.5841468840426,7.787440237161425,14.946962034863953
Loamy,34.49295619658152,Coarse,1053.5128923571854,7.324968908625985,19.01088270620187
Loamy,33.95035374953653,Fine,376.10148917180265,4.825395122567599,12.5831883030299
Loamy,14.521526318962884,Fine,1084.9085752102983,4.839350856340768,29.081020545174447
Loamy,25.24596330222156,Fine,1052.2491874050183,8.446558314004701,22.123492689017603
Silt,30.874384203726457,Fine,511.7633658380273,5.997083183024481,14.572856110069255
Clay,35.75076414441159,Medium,980.9329686283514,5.982568588267563,23.434013688117133
Clay,19.778767156056542,Fine,917.3085219152722,7.75119826903001,22.362564809157917
Loamy,16.60723142696645,Coarse,1308.5301764939895,8.288994309535434,17.163254360656808
Clay,31.334485973140534,Coarse,1343.1685715617589,8.444004255291484,12.27115184399258
Clay,34.28503138419146,Fine,281.54721758968014,7.5135127410357665,23.431463911855992
Loamy,20.45997961875188,Coarse,874.3027063276481,6.0050383421236635,20.406154018075867
Clay,12.885296532742622,Fine,1326.5478482856254,4.834002866794675,25.446367834712788
Peaty,38.21569793468812,Fine,1105.6452654441578,7.608587663709747,20.403270022239866
Sandy,21.92716063262567,Coarse,1741.6817141389802,6.73361699894322,27.0436300063708
Sandy,25.5325405158244,Fine,1385.648536914101,6.196888036987906,21.03813677548971
Loamy,35.131303177219834,Coarse,493.28196874657345,8.125417540378944,21.218759430707728
